,Rk_conversions,Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct,Rk_conversions_against,3DAtt_against,3DConv_against,3D%_against,4DAtt_against,4DConv_against,4D%_against,RZAtt_against,RZTD_against,RZPct_against,Rk_drive_averages,#Dr,Plays,Sc%_x,TO%_x,Avg_plays,Avg_yards,Avg_start,Avg_time,Avg_pts,Rk_drive_averages_against,#Dr_against,Plays_against,Sc%_against,TO%_against,Avg_plays_against,Avg_yards_against,Avg_start_against,Avg_time_against,Avg_pts_against,Rk_kick_and_punt_returns_against,Punt_Returns_Against,Punt_return_yds_against,Punt_return_TD_against,Punt_return_Y/R_against,Kick_return_against,Kick_return_yds_against,Kick_return_TD_against,Kick_return_Y/Rt_against,Rk_kick_and_punt_returns,Punt_Returns,Punt_return_yds,Punt_return_TD,Punt_return_lng,Punt_return_Y/R,Kick_return,Kick_return_yds,Kick_return_TD,Kick_return_lng,Kick_return_Y/Rt,Kick_return_APYd,Rk_FG,FGA_x,FGM_x,FG%,XPA_x,XPM_x,XP%,Rk_passing_defense,Cmp_allowed,Att_allowed_passing_x,Cmp%_allowed,Passing_yds_allowed,Passing_TDs_allowed,Passing_TD%_allowed,Int_x,Passes_defended,Int%,Y/A_passing_allowed,AY/A_passing_allowed,Y/C_passing_allowed,Y/G_passing_allowed,Rate_allowed,Sk_x,SkYds,QBHits,TFL,Sk%,NY/A_passing_allowed,EXP_passing_defense,Rk_passing,Cmp,Passing_Att,Cmp%,Passing_yds,Passing_tds,Passing_td%,Int_thrown,Int%_thrown,Passing_lng,Y/A_passing,AY/A_passing,Y/C_passing,Y/G_passing,rate,Sk_allowed,SkYds_allowed,Sk%_allowed,NY/A_passing_x,ANY/A_passing,4QC,GWD,EXP_passing,punting_rk,Pnt,Pnt_Yds_total,Y/P_x,RetYds,Net,NY/P,Lng,TB,TB%,In20,In20%,Blk_allowed,Punting_against_rk,Pnt_against,Pnt_Yds_against,Y/P_against,Blk,Rk_rushing_allowed,Rushing_att_allowed_x,Rushing_Yds_allowed_x,Rushing_Tds_allowed_x,Y/A_rushing_allowed_x,Y/G_rushing_allowed,EXP_rushing_allowed,Rk_rushing,Rushing_Att_x,Rushing_yds,Rushing_tds,Lng_rushing,Y/A_rushing,Y/G_rushing,Fmb,EXP_rushing,Rk_scoring_defense,RshTD_allowed,RecTD_allowed,PR_TD_allowed,KR_TD_allowed,FblTD_allowed,IntTD_allowed,OthTD_allowed,AllTD_allowed,2PM_allowed,2PA_allowed,D2P_allowed,XPM_allowed,XPA_allowed,FGM_allowed,FGA_allowed,Sfty_allowed,Pts_allowed,Pts/G_allowed,Rk_scoring_offense,RshTd,RecTd,PR_TD,KR_TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM_y,XPA_y,FGM_y,FGA_y,Sfty,Pts,Pts/G,Att_allowed_passing_y,Cmp_allowed_passing_x,Yds_allowed_passing_x,TD_allowed_passing,DADOT,Air_yards_Cmp,YAC_allowed,Bltz,Bltz%,Hrry,Hrry%,QBKD,QBKD%,Sk_y,Prss,Prss%,MTkl,Rk_team_defense,PA,Yds_allowed,Ply_allowed,Y/P_allowed,Takeaways,FL_forced,1stD_allowed,Cmp_allowed_passing_y,Att_allowed_passing,Yds_allowed_passing_y,TDs_allowed_passing,Int_y,NY/A_allowed_passing,1stD_allowed_passing,Rushing_att_allowed_y,Rushing_Yds_allowed_y,Rushing_Tds_allowed_y,Y/A_rushing_allowed_y,1stD_allowed_rushing,Pen_defense,Pen_yds_defense,1stPy_defense,Sc%_allowed,TO%_y,EXP_allowed,Rk_team_offense,PF,Yds,Ply,Y/P_y,TO_allowed,FL_allowed,1stD,Cmp_passing,Att_passing,Passing_Yds,Passing_TDs,Int_allowed,NY/A_passing_y,1stD_passing,Rushing_Att_y,Rushing_Yds,RushingTDs,Rushing_Y/A,Rushing_1stD,Pen_offense,Pen_Yds_offense,1stPy_offense,Sc%_y,TO%_allowed,EXP
0,1,San Francisco 49ers,70,32,45.7%,8,6,75.0%,19,8,42.1%,5,60,20,33.3%,8,6,75.0%,16,9,56.3%,15,53,362,41.5,15.1,6.8,35.5,Own 28.5,3:03,2.00,15,52,319,32.7,9.6,6.1,30.2,Own 31.2,2:47,1.75,23,8,151,1,18.9,18,481,0,26.7,11,10,82,0,18,8.2,14,320,0,38,22.9,2319,21,11,7,63.6%,10,9,90.0%,15.0,114.0,170.0,67.1,1038.0,8.0,4.7,,17.0,,6.3,7.3,9.5,207.6,100.1,6.0,41.0,13.0,25.0,3.4,5.9,-26.45,1.0,134.0,202.0,66.3,1453.0,10.0,5.0,5.0,2.5,45.0,7.4,7.3,11.1,290.6,94.3,7.0,38.0,3.3,7.0,6.8,2.0,3.0,51.23,27,15,656,43.7,151,505,33.7,54,0,0.0%,7,46.7%,0,7,21,1035,49.3,0,17.0,132.0,540.0,2.0,4.1,108.0,6.7,28.0,139.0,426.0,0.0,19.0,3.1,85.2,6.0,-21.7,6.0,2.0,8.0,1.0,,,,,11.0,,1.0,,9.0,10.0,7.0,11.0,1.0,98.0,19.6,6.0,,10.0,,,,,,10.0,1.0,1.0,,8.0,9.0,12.0,14.0,,106.0,21.2,170.0,114.0,1038.0,8.0,8.3,668.0,411.0,29.0,15.6%,5.0,2.7%,8.0,4.7%,6.0,19.0,10.2%,28.0,8,98,1578,308,5.1,5,5,96,114,170,1038,8,0,5.9,52,132,540,2,4.1,32,33,231,12,32.7,9.6,-13.63,20,106,1879,348,5.4,8,3,115,134,202,1453,10,5,7,80,139,426,0,3.1,25,32,268,10,41.5,15.1,26.95
1,2,Los Angeles Chargers,69,32,46.4%,5,3,60.0%,13,5,38.5%,19,67,25,37.3%,9,6,66.7%,18,7,38.9%,21,50,327,38.0,12.0,6.5,35.1,Own 27.2,3:07,1.94,9,49,307,42.9,8.2,6.3,29.9,Own 31.6,2:56,2.02,17,7,92,0,13.1,21,578,0,27.5,19,8,82,0,33,10.3,18,435,0,30,24.2,2375,8,12,12,100.0%,7,6,85.7%,6.0,91.0,154.0,59.1,861.0,4.0,2.6,3.0,26.0,1.9,6.1,5.8,10.3,172.2,77.3,14.0,80.0,27.0,28.0,8.3,5.1,-4.57,11.0,120.0,182.0,65.9,1177.0,8.0,4.4,4.0,2.2,60.0,7.0,6.9,10.6,235.4,91.7,17.0,96.0,8.5,5.9,5.8,1.0,1.0,11.08,19,17,853,50.2,92,741,43.6,60,1,5.9%,6,35.3%,0,15,19,905,47.6,0,19.0,127.0,608.0,5.0,4.8,121.6,-6.49,13.0,119.0,584.0,2.0,54.0,4.9,116.8,6.0,6.75,7.0,5.0,4.0,,,,,,9.0,1.0,2.0,,6.0,7.0,12.0,12.0,,98.0,19.6,7.0,2.0,8.0,,,,,,10.0,1.0,1.0,,9.0,9.0,9.0,9.0,,98.0,19.6,154.0,91.0,861.0,4.0,7.8,407.0,534.0,38.0,20.1%,14.0,7.4%,13.0,8.4%,14.0,41.0,21.7%,27.0,9,98,1469,295,5,4,1,84,91,154,861,4,3,5.1,37,127,608,5,4.8,36,40,299,11,42.9,8.2,-3.83,25,98,1761,318,5.5,7,3,101,120,182,1177,8,4,5.9,60,119,584,2,4.9,30,39,299,11,38,12,8.65
2,3,New York Giants,81,32,39.5%,14,6,42.9%,22,9,40.9%,27,76,30,39.5%,4,4,100.0%,17,10,58.8%,2,61,402,36.1,13.1,6.6,32.2,Own 33.1,3:07,2.00,32,65,405,41.5,7.7,6.2,34.2,Own 24.9,2:46,2.11,2,10,47,0,4.7,25,542,0,21.7,2,13,121,0,21,9.3,26,706,0,46,27.2,3035,14,16,13,81.3%,14,13,92.9%,25.0,124.0,192.0,64.6,1186.0,6.0,3.1,3.0,28.0,1.6,6.6,6.5,10.2,237.2,87.3,10.0,79.0,32.0,26.0,5.0,5.9,-32.49,7.0,122.0,197.0,61.9,1212.0,7.0,3.6,5.0,2.5,52.0,6.6,6.1,10.6,202.0,82.3,16.0,82.0,7.5,5.7,5.3,,,8.25,8,22,973,44.2,47,886,40.3,69,2,9.1%,9,40.9%,0,24,23,1116,48.5,0,30.0,151.0,773.0,7.0,5.1,128.8,-19.22,3.0,181.0,757.0,7.0,24.0,4.2,126.2,7.0,7.66,20.0,7.0,7.0,,,1.0,,,15.0,1.0,1.0,,13.0,14.0,13.0,16.0,,144.0,24.0,20.0,7.0,7.0,,,,,,14.0,1.0,1.0,,11.0,13.0,8.0,8.0,,121.0,20.2,192.0,124.0,1186.0,6.0,7.7,732.0,533.0,57.0,26.9%,11.0,5.2%,21.0,10.9%,10.0,42.0,19.8%,22.0,23,127,1886,333,5.7,3,0,114,124,192,1186,6,3,5.9,60,131,700,6,5.3,36,53,430,18,43.6,5.5,-49.24,15,121,1969,394,5,8,3,126,122,197,1212,7,5,5.7,55,181,757,7,4.2,54,49,470,17,36.1,13.1,8.46
3,4,Green Bay Packers,54,29,53.7%,3,2,66.7%,17,12,70.6%,3,55,18,32.7%,10,6,60.0%,12,7,58.3%,31,42,259,45.2,4.8,6.2,33.1,Own 30.0,3:01,2.50,3,40,262,37.5,5,6.6,28.3,Own 30.9,3:05,2.03,32,7,84,0,12,16,449,0,28.1,7,11,57,0,20,5.2,10,258,0,35,25.8,1773,13,8,6,75.0%,8,8,100.0%,4.0,107.0,157.0,68.2,823.0,6.0,3.8,2.0,17.0,1.3,5.6,5.8,8.3,205.8,89.8,11.0,63.0,35.0,18.0,6.5,4.9,-15.1,25.0,84.0,121.0,69.4,931.0,8.0,6.6,1.0,0.8,57.0,8.3,9.2,11.9,232.8,113.0,8.0,69.0,6.2,7.2,8.1,1.0,0.0,44.38,29,14,725,51.8,84,601,42.9,65,2,14.3%,4,28.6%,0,5,17,810,47.6,0,1.0,86.0,310.0,3.0,3.6,77.5,6.34,26.0,121.0,458.0,4.0,25.0,3.8,114.5,2.0,1.31,11.0,3.0,6.0,,,,,,9.0,1.0,1.0,,8.0,8.0,6.0,8.0,,84.0,21.0,11.0,4.0,8.0,,,,,,12.0,,0.0,,11.0,12.0,7.0,9.0,,104.0,26.0,157.0,107.0,823.0,6.0,6.7,454.0,432.0,32.0,18.4%,12.0,6.9%,20.0,12.7%,11.0,43.0,24.7%,24.0,3,84,1133,254,4.5,2,0,72,107,157,823,6,2,4.9,47,86,310,3,3.6,18,31,255,7,37.5,5,-4.42,21,104,1389,250,5.6,2,1,82,84,121,931,8,1,7.2,46,121,458,4,3.8,25,35,245,11,45.2,4.8,40.93
4,5,Miami Dolphins,60,28,46.7%,7,4,57.1%,13,10,76.9%,24,58,29,50.0%,8,7,87.5%,21,12,57.1%,30,43,271,39.5,11.6,6.3,32.3,Own 32.1,3:09,2.30,4,45,316,57.8,8.9,7,42.6,Own 26.5,3:39,3.07,30,4,41,0,10.3,20,568,1,28.4,20,7,144,1,74,20.6,26,667,0,54,25.7,2269,4,12,11,91.7%,14,12,85.7%,18.0,102.0,137.0,74.5,1062.0,9.0,6.6,1.0,14.0,0.7,8.3,9.3,11.2,212.4,117.6,11.0,77.0,18.0,18.0,7.4,7.2,-60.18,19.0,111.0,158.0,70.3,982.0,10.0,6.3,4.0,2.5,47.0,6.6,6.7,9.4,196.4,98.6,11.0,58.0,6.5,5.8,5.9,,,21.08,16,17,834,49.1,41,790,46.5,64,0,0.0%,9,52.9%,0,20,9,476,52.9,0,32.0,156.0,871.0,6.0,5.6,174.2,-19.6,29.0,97.0,411.0,2.0,26.0,4.2,82.2,4.0,4.06,27.0,6.0,9.0,,1.0,,,,16.0,2.0,2.0,,12.0,14.0,11.0,12.0,,145.0,29.0,27.0,2.0,10.0,1.0,,,,,13.0,1.0,1.0,,12.0,12.0,5.0,5.0,,107.0,21.4,137.0,102.0,1062.0,9.0,6.6,579.0,560.0,56.0,34.1%,14.0,8.5%,3.0,2.2%,11.0,28.0,17.1%,27.0,28,145,1933,304,6.4,5,4,117,102,137,1062,9,1,7.2,59,156,871,6,5.6,44,40,302,14,57.8,8.9,-70.98,19,107,1393,266,5.2,5,1,81,111,158,982,10,4,5.8,60,97,411,2,4.2,19,34,241,2,39.5,11.6,23.65
5,6,Indianapolis Colts,58,27,46.6%,8,6,75.0%,25,15,60.0%,21,59,26,44.1%,8,4,50.0%,13,8,61.5%,29,44,299,63.6,6.8,6.8,41.8,Own 32.9,3:23,3.27,7,46,310,34.8,17.4,6.7,34.2,Own 29.7,3:10,1.91,12,2,8,0,4,27,675,0,25,31,4,35,0,16,8.8,16,436,0,39,27.3,2510,30,10,6,60.0%,9,9,100.0%,20.0,118.0,176.0,67.0,1085.0,8.0,4.5,6.0,25.0,3.4,6.7,6.0,9.9,217.0,86.7,14.0,89.0,27.0,27.0,7.4,5.7,-14.89,4.0,108.0,153.0,70.6,1265.0,6.0,3.9,2.0,1.3,75.0,8.5,8.7,12.0,253.0,103.9,4.0,34.0,2.5,8.1,8.2,1.0,1.0,65.02,32,7,356,50.9,8,348,49.7,56,0,0.0%,5,71.4%,0,1,11,469,42.6,1,14.0,110.0,490.0,2.0,4.5,98.0,-0.05,9.0,146.0,641.0,11.0,68.0,4.4,128.2,3.0,22.42,3.0,2.0,8.0,,,,,,10.0,1.0,1.0,,9.0,9.0,6.0,10.0,,89.0,17.8,3.0,11.0,6.0,,,,1.0,,18.0,1.0,4.0,,14.0,14.0,13.0,14.0,,163.0,32.6,176.0,118.0,1085.0,8.0,6.8,575.0,575.0,46.0,23.1%,9.0,4.5%,10.0,5.7%,14.0,33.0,16.6%,30.0,5,89,1575,300,5.3,8,2,102,118,176,1085,8,6,5.7,58,110,490,2,4.5,31,32,294,13,34.8,17.4,-12.36,2,163,1906,303,6.3,3,1,116,108,153,1265,6,2,8.1,63,146,641,11,4.4,39,39,301,14,63.6,6.8,79.78
6,7,Arizona Cardinals,68,27,39.7%,4,4,100.0%,17,10,58.8%,11,67,23,34.3%,10,5,50.0%,17,8,47.1%,20,50,311,36.0,10.0,6.2,28.8,Own 30.1,3:07,1.88,20,53,351,37.7,9.4,6.6,32.7,Own 27.8,2:44,1.74,6,11,99,0,9,21,560,0,26.7,18,8,98,0,29,12.3,20,491,0,36,24.6,2162,15,14,12,85.7%,7,6,85.7%,29.0,128.0,207.0,61.8,1271.0,5.0,2.4,3.0,33.0,1.4,6.4,6.3,10.4,254.2,82.5,10.0,62.0,27.0,25.0,4.6,5.9,-31.73,30.0,110.0,162.0,67.9,851.0,6.0,3.7,3.0,1.9,45.0,5.9,5.8,8.7,170.2,88.0,16.0,111.0,9.0,4.8,4.7,,,19.66,9,22,1138,51.7,99,999,45.4,63,2,9.1%,8,36.4%,0,25,17,843,49.6,0,10.0,120.0,462.0,3.0,3.9,92.4,14.0,12.0,123.0,591.0,4.0,71.0,4.8,118.2,4.0,-1.99,4.0,3.0,5.0,,,1.0,,,9.0,,2.0,,6.0,7.0,12.0,14.0,,96.0,19.2,4.0,4.0,6.0,,,1.0,,,11.0,,0.0,,11.0,11.0,8.0,10.0,1.0,103.0,20.6,207.0,128.0,1271.0,5.0,8.1,816.0,509.0,42.0,18.9%,10.0,4.5%,15.0,7.2%,10.0,35.0,15.8%,28.0,6,96,1733,337,5.1,6,3,106,128,207,1271,5,3,5.9,68,120,462,3,3.9,25,37,350,13,37.7,9.4,-9.37,22,103,1442,301,4.8,6,3,85,110,162,851,6,3,4.8,50,123,591,4,4.8,26,41,273,9,36,10,12.64
7,8,Las Vegas Raiders,67,27,40.3%,9,4,44.4%,14,5,35.7%,23,61,28,45.9%,4,3,75.0%,19,11,57.9%,11,54,318,31.5,18.5,5.9,29.9,Own 26.3,2:51,1.54,12,50,292,46,8,5.8,31,Own 37.6,2:49,2.42,20,9,169,1,18.8,18,505,0,28.1,26,6,53,0,15,8.8,23,587,0,38,25.5,2401,9,12,10,83.3%,11,11,100.0%,23.0,107.0,163.0,65.6,1134.0,7.0,4.3,2.0,21.0,1.2,7.2,7.5,10.9,226.8,95.9,8.0,35.0,20.0,30.0,4.7,6.6,-50.47,15.0,106.0,163.0,65.0,1051.0,6.0,3.7,9.0,5.5,61.0,7.2,5.5,11.1,210.2,75.6,16.0,125.0,8.9,5.9,4.3,,,3.15,14,16,747,46.7,169,538,31.6,60,2,12.5%,1,6.3%,1,17,17,789,46.4,0,15.0,127.0,507.0,8.0,4.0,101.4,4.53,19.0,127.0,563.0,2.0,64.0,4.4,112.6,2.0,-10.6,25.0,8.0,7.0,1.0,,,,,16.0,1.0,5.0,,11.0,11.0,10.0,12.0,,139.0,27.8,25.0,2.0,6.0,,,,,,8.0,1.0,2.0,,6.0,6.0,9.0,12.0,,83.0,16.6,163.0,107.0,1134.0,7.0,8.0,671.0,435.0,44.0,24.3%,10.0,5.5%,12.0,7.4%,8.0,30.0,16.6%,33.0,26,139,1641,298,5.5,4,2,90,107,163,1134,7,2,6.6,52,127,507,8,4,30,38,294,8,46,8,-34.34,29,83,1614,306,5.3,10,1,92,106,163,1051,6,9,5.9,55,127,563,2,4.4,29,31,279,8,31.5,18.5,-10.45
