,Rk_conversions,Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct,Rk_conversions_against,3DAtt_against,3DConv_against,3D%_against,4DAtt_against,4DConv_against,4D%_against,RZAtt_against,RZTD_against,RZPct_against,Rk_drive_averages,#Dr,Plays,Sc%_x,TO%_x,Avg_plays,Avg_yards,Avg_start,Avg_time,Avg_pts,Rk_drive_averages_against,#Dr_against,Plays_against,Sc%_against,TO%_against,Avg_plays_against,Avg_yards_against,Avg_start_against,Avg_time_against,Avg_pts_against,Rk_kick_and_punt_returns_against,Punt_Returns_Against,Punt_return_yds_against,Punt_return_TD_against,Punt_return_Y/R_against,Kick_return_against,Kick_return_yds_against,Kick_return_TD_against,Kick_return_Y/Rt_against,Rk_kick_and_punt_returns,Punt_Returns,Punt_return_yds,Punt_return_TD,Punt_return_lng,Punt_return_Y/R,Kick_return,Kick_return_yds,Kick_return_TD,Kick_return_lng,Kick_return_Y/Rt,Kick_return_APYd,Rk_FG,FGA_x,FGM_x,FG%,XPA_x,XPM_x,XP%,Rk_passing_defense,Cmp_allowed,Att_allowed_passing_x,Cmp%_allowed,Passing_yds_allowed,Passing_TDs_allowed,Passing_TD%_allowed,Int_x,Passes_defended,Int%,Y/A_passing_allowed,AY/A_passing_allowed,Y/C_passing_allowed,Y/G_passing_allowed,Rate_allowed,Sk_x,SkYds,QBHits,TFL,Sk%,NY/A_passing_allowed,EXP_passing_defense,Rk_passing,Cmp,Passing_Att,Cmp%,Passing_yds,Passing_tds,Passing_td%,Int_thrown,Int%_thrown,Passing_lng,Y/A_passing,AY/A_passing,Y/C_passing,Y/G_passing,rate,Sk_allowed,SkYds_allowed,Sk%_allowed,NY/A_passing_x,ANY/A_passing,4QC,GWD,EXP_passing,punting_rk,Pnt,Pnt_Yds_total,Y/P_x,RetYds,Net,NY/P,Lng,TB,TB%,In20,In20%,Blk_allowed,Punting_against_rk,Pnt_against,Pnt_Yds_against,Y/P_against,Blk,Rk_rushing_allowed,Rushing_att_allowed_x,Rushing_Yds_allowed_x,Rushing_Tds_allowed_x,Y/A_rushing_allowed_x,Y/G_rushing_allowed,EXP_rushing_allowed,Rk_rushing,Rushing_Att_x,Rushing_yds,Rushing_tds,Lng_rushing,Y/A_rushing,Y/G_rushing,Fmb,EXP_rushing,Rk_scoring_defense,RshTD_allowed,RecTD_allowed,PR_TD_allowed,KR_TD_allowed,FblTD_allowed,IntTD_allowed,OthTD_allowed,AllTD_allowed,2PM_allowed,2PA_allowed,D2P_allowed,XPM_allowed,XPA_allowed,FGM_allowed,FGA_allowed,Sfty_allowed,Pts_allowed,Pts/G_allowed,Rk_scoring_offense,RshTd,RecTd,PR_TD,KR_TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM_y,XPA_y,FGM_y,FGA_y,Sfty,Pts,Pts/G,Att_allowed_passing_y,Cmp_allowed_passing_x,Yds_allowed_passing_x,TD_allowed_passing,DADOT,Air_yards_Cmp,YAC_allowed,Bltz,Bltz%,Hrry,Hrry%,QBKD,QBKD%,Sk_y,Prss,Prss%,MTkl,Rk_team_defense,PA,Yds_allowed,Ply_allowed,Y/P_allowed,Takeaways,FL_forced,1stD_allowed,Cmp_allowed_passing_y,Att_allowed_passing,Yds_allowed_passing_y,TDs_allowed_passing,Int_y,NY/A_allowed_passing,1stD_allowed_passing,Rushing_att_allowed_y,Rushing_Yds_allowed_y,Rushing_Tds_allowed_y,Y/A_rushing_allowed_y,1stD_allowed_rushing,Pen_defense,Pen_yds_defense,1stPy_defense,Sc%_allowed,TO%_y,EXP_allowed,Rk_team_offense,PF,Yds,Ply,Y/P_y,TO_allowed,FL_allowed,1stD,Cmp_passing,Att_passing,Passing_Yds,Passing_TDs,Int_allowed,NY/A_passing_y,1stD_passing,Rushing_Att_y,Rushing_Yds,RushingTDs,Rushing_Y/A,Rushing_1stD,Pen_offense,Pen_Yds_offense,1stPy_offense,Sc%_y,TO%_allowed,EXP
8,9,Tampa Bay Buccaneers,65,27,41.5%,5,3,60.0%,17,8,47.1%,9,58,22,37.9%,10,5,50.0%,14,10,71.4%,17,53,333,47.2,3.8,6.3,33.4,Own 29.3,3:00,2.40,16,52,301,40.4,7.7,5.8,29.5,Own 31.7,2:42,2.29,5,6,99,0,16.5,27,733,0,27.1,9,10,159,0,54,15.9,21,498,0,35,23.7,2550,29,9,7,77.8%,15,15,100.0%,21.0,109.0,160.0,68.1,1092.0,10.0,6.3,2.0,23.0,1.3,7.3,8.0,10.8,218.4,105.0,10.0,81.0,25.0,33.0,5.9,6.4,-29.14,6.0,112.0,172.0,65.1,1217.0,10.0,5.8,1.0,0.6,77.0,7.5,8.4,11.5,243.4,104.4,9.0,66.0,5.0,6.7,7.6,4.0,4.0,45.76,7,20,821,41.1,99,682,31.0,62,2,10.0%,4,20.0%,2,26,17,841,49.5,0,9.0,122.0,462.0,4.0,3.8,92.4,5.01,21.0,137.0,552.0,3.0,33.0,4.0,110.4,4.0,-0.3,23.0,4.0,10.0,,,,,3.0,16.0,,1.0,,15.0,15.0,7.0,9.0,,132.0,26.4,23.0,3.0,10.0,,,,1.0,,14.0,1.0,2.0,,11.0,12.0,12.0,15.0,1.0,135.0,27.0,160.0,109.0,1092.0,10.0,6.9,565.0,590.0,65.0,34.4%,12.0,6.3%,14.0,8.8%,10.0,36.0,19.0%,31.0,24,132,1554,292,5.3,4,2,99,109,160,1092,10,2,6.4,64,122,462,4,3.8,23,36,320,12,40.4,7.7,-20.13,8,135,1769,318,5.6,2,1,103,112,172,1217,10,1,6.7,58,137,552,3,4,29,35,306,16,47.2,3.8,41.03
9,10,Kansas City Chiefs,65,27,41.5%,10,9,90.0%,19,12,63.2%,8,56,21,37.5%,11,4,36.4%,15,9,60.0%,26,47,328,51.1,4.3,7.0,38.4,Own 30.9,3:16,2.72,6,46,296,41.3,13,6.4,34.1,Own 29.2,3:11,2.2,24,4,30,0,7.5,22,551,0,25,15,8,70,0,25,8.8,21,567,0,47,27.0,2520,25,8,8,100.0%,12,11,91.7%,9.0,99.0,146.0,67.8,953.0,5.0,3.4,4.0,21.0,2.7,6.8,6.3,10.1,190.6,87.1,13.0,46.0,32.0,26.0,8.2,6.0,-4.48,10.0,116.0,183.0,63.4,1205.0,8.0,4.4,2.0,1.1,49.0,6.9,7.3,10.8,241.0,93.5,7.0,52.0,3.7,6.3,6.7,,,31.71,28,14,634,45.3,30,604,43.1,69,0,0.0%,8,57.1%,0,4,12,596,49.7,0,21.0,129.0,617.0,6.0,4.8,123.4,-19.14,11.0,125.0,600.0,6.0,35.0,4.8,120.0,4.0,22.56,14.0,6.0,5.0,,,,1.0,,12.0,,0.0,,11.0,12.0,8.0,8.0,,107.0,21.4,14.0,6.0,8.0,,,,,,14.0,,1.0,,11.0,13.0,10.0,13.0,,125.0,25.0,146.0,99.0,953.0,5.0,7.9,393.0,385.0,47.0,26.4%,4.0,2.2%,14.0,9.6%,13.0,31.0,17.4%,19.0,15,107,1570,288,5.5,6,2,96,99,146,953,5,4,6,45,129,617,6,4.8,39,29,260,12,41.3,13,-14.85,11,125,1805,315,5.7,2,0,107,116,183,1205,8,2,6.3,59,125,600,6,4.8,42,42,350,6,51.1,4.3,46.25
10,11,Buffalo Bills,59,26,44.1%,4,3,75.0%,22,14,63.6%,17,59,24,40.7%,6,4,66.7%,15,9,60.0%,12,53,335,52.8,7.5,6.3,37.2,Own 28.2,3:13,2.94,10,50,285,42,10,5.7,30,Own 33.0,2:35,2.3,4,6,49,0,8.2,28,739,0,26.4,14,8,43,0,15,5.4,21,557,0,41,26.5,2641,28,8,8,100.0%,12,11,91.7%,2.0,86.0,133.0,64.7,770.0,6.0,4.5,2.0,11.0,1.5,6.3,6.5,9.7,154.0,91.0,13.0,67.0,24.0,26.0,8.9,5.3,-0.83,9.0,108.0,154.0,70.1,1207.0,9.0,5.8,2.0,1.3,51.0,8.1,8.7,11.6,241.4,108.4,8.0,42.0,4.9,7.5,8.0,1.0,2.0,61.71,30,13,536,41.2,49,487,37.5,48,0,0.0%,4,30.8%,0,3,21,1025,48.8,0,27.0,131.0,728.0,7.0,5.6,145.6,-23.99,2.0,162.0,772.0,9.0,44.0,4.8,154.4,6.0,16.44,17.0,7.0,6.0,,,,,,13.0,,1.0,,11.0,12.0,8.0,8.0,,113.0,22.6,17.0,9.0,9.0,,,,,,18.0,,3.0,,15.0,15.0,10.0,11.0,,153.0,30.6,133.0,86.0,770.0,6.0,6.8,450.0,386.0,40.0,25.2%,20.0,12.6%,6.0,4.5%,13.0,39.0,24.5%,23.0,19,113,1498,277,5.4,5,3,92,86,133,770,6,2,5.3,44,131,728,7,5.6,42,30,277,6,42,10,-19.73,3,153,1979,324,6.1,4,2,122,108,154,1207,9,2,7.5,65,162,772,9,4.8,43,36,287,14,52.8,7.5,69.24
11,12,Cleveland Browns,76,26,34.2%,12,8,66.7%,12,8,66.7%,25,67,29,43.3%,2,1,50.0%,14,11,78.6%,3,58,340,24.1,13.8,5.9,24.8,Own 29.6,2:41,1.28,29,57,288,33.3,7,5.1,21.8,Own 32.0,2:32,1.91,14,12,145,1,12.1,16,410,0,25.6,10,10,87,0,16,8.7,19,461,0,32,24.3,2089,2,8,6,75.0%,15,15,100.0%,7.0,93.0,139.0,66.9,861.0,10.0,7.2,2.0,16.0,1.4,6.9,7.7,10.3,172.2,104.5,14.0,96.0,27.0,29.0,9.2,5.6,-26.89,22.0,115.0,197.0,58.4,962.0,5.0,2.5,6.0,3.0,35.0,5.2,4.3,8.9,192.4,68.2,11.0,62.0,5.3,4.6,3.8,1.0,1.0,-42.33,1,29,1285,44.3,145,1080,36.0,58,4,13.8%,11,37.9%,1,32,26,1347,51.8,0,2.0,127.0,378.0,3.0,3.0,75.6,28.53,24.0,124.0,479.0,3.0,38.0,3.9,95.8,3.0,4.41,22.0,3.0,10.0,1.0,,1.0,,,15.0,,0.0,,15.0,15.0,6.0,8.0,,123.0,24.6,22.0,3.0,5.0,,,,,,8.0,,0.0,,7.0,8.0,6.0,8.0,,73.0,14.6,139.0,93.0,861.0,10.0,7.7,498.0,459.0,41.0,25.6%,7.0,4.4%,10.0,7.2%,14.0,31.0,19.4%,28.0,22,123,1239,280,4.4,4,2,75,93,139,861,10,2,5.6,47,127,378,3,3,19,40,221,9,33.3,7,6.71,31,73,1441,332,4.3,8,2,87,115,197,962,5,6,4.6,47,124,479,3,3.9,32,37,307,8,24.1,13.8,-42.37
12,13,Carolina Panthers,66,26,39.4%,13,8,61.5%,15,10,66.7%,7,56,21,37.5%,8,5,62.5%,16,10,62.5%,23,50,331,36.0,14.0,6.6,31.5,Own 28.7,3:13,1.96,8,49,287,38.8,10.2,5.9,31.8,Own 30.7,2:51,2.14,15,10,232,1,23.2,18,347,0,19.3,21,7,31,0,13,4.4,19,429,0,35,22.6,2184,6,9,7,77.8%,14,14,100.0%,12.0,100.0,153.0,65.4,1022.0,7.0,4.6,4.0,15.0,2.6,6.9,6.7,10.6,204.4,89.7,5.0,36.0,11.0,17.0,3.2,6.5,-28.23,24.0,111.0,180.0,61.7,935.0,8.0,4.4,4.0,2.2,40.0,5.6,5.5,9.1,187.0,82.4,9.0,74.0,4.8,4.9,4.8,1.0,1.0,6.69,25,15,708,47.2,232,456,30.4,61,1,6.7%,6,40.0%,0,6,17,847,49.8,0,16.0,120.0,536.0,5.0,4.5,107.2,8.51,10.0,134.0,640.0,3.0,53.0,4.8,128.0,5.0,6.56,18.0,5.0,7.0,1.0,,1.0,,,14.0,,0.0,,14.0,14.0,7.0,9.0,,119.0,23.8,18.0,3.0,8.0,,,,1.0,,12.0,,2.0,,9.0,10.0,7.0,8.0,,102.0,20.4,153.0,100.0,1022.0,7.0,7.8,568.0,472.0,29.0,17.2%,2.0,1.2%,6.0,3.9%,5.0,13.0,7.7%,26.0,21,119,1558,278,5.6,5,1,83,100,153,1022,7,4,6.5,51,120,536,5,4.5,30,42,330,2,38.8,10.2,-17.41,23,102,1575,323,4.9,8,4,103,111,180,935,8,4,4.9,57,134,640,3,4.8,32,30,248,14,36,14,5.89
13,14,Philadelphia Eagles,75,26,34.7%,9,7,77.8%,16,14,87.5%,30,78,33,42.3%,8,3,37.5%,17,9,52.9%,1,62,341,33.9,4.8,5.5,24.9,Own 27.2,2:48,1.98,31,62,398,43.5,8.1,6.4,33.2,Own 30.6,2:53,2.27,1,19,265,0,13.9,27,593,0,22,27,5,48,0,15,9.6,25,518,0,39,20.7,2342,19,15,12,80.0%,14,13,92.9%,17.0,102.0,176.0,58.0,1057.0,6.0,3.4,3.0,28.0,1.7,6.3,6.2,10.8,211.4,80.7,7.0,45.0,27.0,18.0,3.8,5.8,-6.04,13.0,117.0,172.0,68.0,1075.0,8.0,4.7,1.0,0.6,52.0,6.8,7.5,10.0,179.2,100.2,18.0,97.0,9.5,5.7,6.3,1.0,1.0,9.67,2,30,1578,52.6,265,1253,41.8,70,3,10.0%,6,20.0%,0,31,21,910,43.3,1,31.0,173.0,806.0,8.0,4.7,134.3,-20.16,17.0,162.0,572.0,8.0,29.0,3.5,95.3,5.0,13.69,19.0,8.0,7.0,,,,,,15.0,1.0,1.0,,13.0,14.0,12.0,15.0,1.0,143.0,23.8,19.0,8.0,8.0,,,,,2.0,18.0,,1.0,,16.0,16.0,6.0,6.0,,142.0,23.7,176.0,102.0,1057.0,6.0,8.9,579.0,523.0,42.0,21.5%,11.0,5.6%,16.0,9.1%,7.0,34.0,17.4%,32.0,17,109,1691,317,5.3,5,2,102,102,176,1057,6,3,5.8,45,134,634,4,4.7,40,31,289,17,42.3,9.6,-14.65,6,142,1647,352,4.7,3,2,107,117,172,1075,8,1,5.7,54,162,572,8,3.5,43,41,392,10,33.9,4.8,18.75
14,15,New Orleans Saints,68,26,38.2%,9,3,33.3%,17,7,41.2%,15,57,23,40.4%,6,3,50.0%,17,12,70.6%,16,53,348,34.0,5.7,6.6,28.9,Own 30.2,2:44,1.62,13,51,317,43.1,15.7,6.2,31.8,Own 32.8,3:02,2.39,29,8,151,1,18.9,16,467,0,29.2,25,6,91,0,40,15.2,23,553,0,43,24.0,2356,20,9,8,88.9%,16,15,93.8%,11.0,105.0,151.0,69.5,1020.0,11.0,7.3,3.0,24.0,2.0,7.2,7.8,10.3,204.0,106.0,12.0,66.0,25.0,24.0,7.4,6.3,-28.45,23.0,120.0,181.0,66.3,952.0,6.0,3.3,2.0,1.1,87.0,5.6,5.7,8.4,190.4,87.0,9.0,57.0,4.7,5.0,5.2,,,7.2,10,19,841,44.3,151,650,32.5,61,2,10.5%,5,26.3%,1,23,14,611,43.6,0,20.0,147.0,611.0,4.0,4.2,122.2,4.47,14.0,143.0,584.0,2.0,18.0,4.1,116.8,3.0,3.71,24.0,4.0,11.0,1.0,,,,,16.0,,0.0,,15.0,16.0,8.0,9.0,,135.0,27.0,24.0,2.0,6.0,,,1.0,,,9.0,,1.0,,8.0,8.0,10.0,15.0,,92.0,18.4,151.0,105.0,1020.0,11.0,7.6,511.0,575.0,40.0,22.9%,9.0,5.1%,14.0,9.3%,12.0,35.0,20.0%,32.0,25,135,1631,310,5.3,8,5,107,105,151,1020,11,3,6.3,57,147,611,4,4.2,37,41,314,13,43.1,15.7,-19.28,27,92,1536,333,4.6,3,1,103,120,181,952,6,2,5,53,143,584,2,4.1,34,42,295,16,34,5.7,4.83
15,16,Dallas Cowboys,60,26,43.3%,6,4,66.7%,19,13,68.4%,32,71,39,54.9%,7,4,57.1%,20,13,65.0%,10,54,342,50.0,11.1,6.3,37.6,Own 27.7,2:53,2.76,19,53,345,50.9,5.7,6.5,38.9,Own 28.3,3:06,2.89,7,12,126,0,10.5,19,473,0,24.9,30,4,38,0,19,9.5,25,610,0,45,24.4,2716,27,9,9,100.0%,16,15,93.8%,32.0,131.0,181.0,72.4,1423.0,12.0,6.6,1.0,9.0,0.6,8.4,9.5,11.6,284.6,117.2,10.0,97.0,30.0,25.0,5.2,7.5,-71.65,3.0,142.0,200.0,71.0,1361.0,10.0,5.0,4.0,2.0,46.0,7.0,7.1,9.8,272.2,98.7,7.0,36.0,3.4,6.6,6.7,2.0,1.0,59.43,13,17,798,46.9,126,672,39.5,60,0,0.0%,4,23.5%,0,16,16,716,44.8,0,22.0,145.0,637.0,6.0,4.4,127.4,-9.06,8.0,125.0,672.0,7.0,66.0,5.4,134.4,3.0,18.55,29.0,6.0,12.0,,,,,,18.0,2.0,2.0,,15.0,16.0,9.0,9.0,,154.0,30.8,29.0,7.0,10.0,,,,,,17.0,1.0,1.0,1.0,15.0,16.0,10.0,10.0,,151.0,30.2,181.0,131.0,1423.0,12.0,8.1,807.0,713.0,44.0,21.4%,29.0,14.1%,18.0,9.9%,10.0,57.0,27.7%,41.0,29,154,2060,336,6.1,3,2,118,131,181,1423,12,1,7.5,62,145,637,6,4.4,47,46,425,9,50.9,5.7,-76.15,4,151,2033,332,6.1,6,2,125,142,200,1361,10,4,6.6,70,125,672,7,5.4,38,42,359,17,50,11.1,76.07
16,17,Chicago Bears,55,25,45.5%,5,2,40.0%,11,7,63.6%,1,41,12,29.3%,5,3,60.0%,17,11,64.7%,27,45,255,37.8,8.9,5.7,28.8,Own 33.6,2:43,2.11,5,46,234,43.5,19.6,5.1,33,Own 30.7,2:33,2.52,16,10,122,0,12.2,18,464,0,25.8,12,9,103,0,22,11.4,19,503,0,44,26.5,2056,7,8,6,75.0%,11,11,100.0%,5.0,84.0,114.0,73.7,860.0,10.0,8.8,7.0,15.0,6.1,7.8,6.8,10.5,215.0,99.5,5.0,26.0,17.0,17.0,4.2,7.2,-21.75,27.0,83.0,133.0,62.4,903.0,8.0,6.0,2.0,1.5,65.0,7.2,7.7,11.5,225.8,97.8,7.0,51.0,5.0,6.5,7.0,1.0,1.0,24.34,17,17,802,47.2,122,660,38.8,62,1,5.9%,4,23.5%,0,14,13,642,49.4,0,23.0,107.0,658.0,4.0,6.1,164.5,-9.85,30.0,108.0,409.0,3.0,20.0,3.8,102.3,5.0,-11.91,28.0,4.0,10.0,,,,,,14.0,2.0,3.0,,11.0,11.0,6.0,8.0,,117.0,29.3,28.0,3.0,8.0,,,,1.0,,12.0,,1.0,,11.0,11.0,6.0,7.0,,101.0,25.3,114.0,84.0,860.0,10.0,6.8,444.0,442.0,21.0,17.1%,8.0,6.5%,12.0,10.5%,5.0,25.0,20.3%,34.0,20,117,1518,226,6.7,9,2,79,84,114,860,10,7,7.2,40,107,658,4,6.1,32,20,139,7,43.5,19.6,-27.53,24,101,1312,248,5.3,4,2,74,83,133,903,8,2,6.5,42,108,409,3,3.8,26,34,278,6,37.8,8.9,6.19
17,18,Denver Broncos,67,25,37.3%,5,2,40.0%,15,10,66.7%,6,66,20,30.3%,3,0,0.0%,14,4,28.6%,8,56,330,35.7,8.9,5.9,31.7,Own 31.1,2:47,2.07,28,57,314,35.1,5.3,5.5,25.3,Own 27.3,2:32,1.47,11,8,97,0,12.1,21,589,0,28,3,13,169,0,32,13.0,19,486,0,32,25.6,2461,11,14,14,100.0%,6,6,100.0%,10.0,100.0,172.0,58.1,1001.0,4.0,2.3,1.0,27.0,0.6,6.6,6.8,11.3,200.2,83.3,21.0,132.0,48.0,24.0,10.9,5.2,-4.24,14.0,114.0,176.0,64.8,1073.0,8.0,4.5,4.0,2.3,52.0,6.3,6.2,9.7,214.6,87.9,5.0,30.0,2.8,5.9,5.8,1.0,1.0,28.06,6,24,1135,47.3,97,978,40.8,63,3,12.5%,15,62.5%,0,28,28,1406,50.2,0,6.0,107.0,442.0,2.0,4.1,88.4,9.22,5.0,142.0,703.0,6.0,50.0,5.0,140.6,2.0,0.88,2.0,2.0,4.0,,,,,,6.0,,0.0,,6.0,6.0,14.0,14.0,,84.0,16.8,2.0,6.0,8.0,,,,,,14.0,1.0,1.0,,13.0,13.0,6.0,7.0,,117.0,23.4,172.0,100.0,1001.0,4.0,9.9,609.0,515.0,58.0,29.1%,21.0,10.6%,21.0,12.2%,21.0,63.0,31.7%,24.0,2,84,1443,300,4.8,4,3,87,100,172,1001,4,1,5.2,52,107,442,2,4.1,19,47,344,16,35.1,5.3,9.93,16,117,1776,323,5.5,6,2,104,114,176,1073,8,4,5.9,54,142,703,6,5,34,43,411,16,35.7,8.9,29.05
18,19,Jacksonville Jaguars,63,24,38.1%,6,3,50.0%,20,11,55.0%,29,66,31,47.0%,5,2,40.0%,14,8,57.1%,9,55,328,40.0,10.9,6.0,31.2,Own 30.5,2:50,2.07,22,55,317,30.9,25.5,5.8,31.7,Own 30.1,2:37,1.8,25,8,40,0,5,18,460,0,25.6,22,7,129,1,87,18.4,16,401,0,54,25.1,2469,24,6,5,83.3%,11,11,100.0%,28.0,122.0,197.0,61.9,1252.0,8.0,4.1,10.0,38.0,5.1,6.6,5.1,10.7,250.4,73.6,7.0,50.0,27.0,16.0,3.4,6.1,3.54,16.0,102.0,169.0,60.4,1028.0,6.0,3.6,5.0,3.0,46.0,6.3,5.7,10.5,205.6,78.2,6.0,38.0,3.4,5.9,5.3,1.0,2.0,14.9,15,17,841,49.5,40,741,43.6,60,3,17.6%,6,35.3%,0,13,17,768,45.2,0,13.0,107.0,489.0,4.0,4.6,97.8,-5.14,6.0,141.0,685.0,6.0,71.0,4.9,137.0,3.0,9.5,8.0,4.0,8.0,,,,,,12.0,1.0,1.0,,11.0,11.0,5.0,6.0,,100.0,20.0,8.0,6.0,6.0,1.0,,,1.0,,14.0,,1.0,,13.0,13.0,10.0,12.0,,127.0,25.4,197.0,122.0,1252.0,8.0,8.1,568.0,409.0,31.0,14.3%,12.0,5.5%,16.0,8.1%,7.0,35.0,16.1%,17.0,11,100,1741,311,5.6,14,4,100,122,197,1252,8,10,6.1,65,107,489,4,4.6,26,32,293,9,30.9,25.5,3.5,10,127,1713,316,5.4,6,1,96,102,169,1028,6,5,5.9,50,141,685,6,4.9,37,42,333,9,40,10.9,16.58
